0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
ABP|ABP|Аткамба|Аткамба|Atkamba|Atkamba|Аткамба|Аткамба|Atkamba|Atkamba|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-6.050|-6.050|141.083|141.083
ABQ|ABQ|||Albuquerque International|Albuquerque International|Альбукерк|Альбукерк|Albuquerque|Albuquerque|США|США|35.038932|35.038932|-106.608261|-106.608261
ABR|ABR|||Municipal|Municipal|||Aberdeen|Aberdeen|США|США|45.446798|45.446798|-98.422440|-98.422440
ABS|ABS|Абу-Симбель|Абу-Симбель|Abu Simbel|Abu Simbel|Абу-Симбель|Абу-Симбель|Abu Simbel|Abu Simbel|Египет|Египет|22.375953|22.375953|31.611722|31.611722
ABT|ABT|||Al-Aqiq|Al-Aqiq|||Al-Baha|Al-Baha|Саудовская Аравия|Саудовская Аравия|20.296111|20.296111|41.634167|41.634167
ABU|ABU|||Atambua|Atambua|||Atambua|Atambua|Индонезия|Индонезия|-9.075277|-9.075277|124.902778|124.902778
ABV|ABV|||Nnamdi Azikiwe International Airport|Nnamdi Azikiwe International Airport|Абуджа|Абуджа|Abuja|Abuja|Нигерия|Нигерия|9.006792|9.006792|7.263172|7.263172
ABW|ABW|Абау|Абау|Abau|Abau|Абау|Абау|Abau|Abau|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-10.200|-10.200|148.733|148.733
ABX|ABX|Элбери|Элбери|Albury|Albury|Элбери|Элбери|Albury|Albury|Австралия|Австралия|-36.067777|-36.067777|146.958056|146.958056
ABY|ABY|||Dougherty County|Dougherty County|Олбани|Олбани|Albany|Albany|США|США|31.535528|31.535528|-84.194471|-84.194471
ABZ|ABZ|||Dyce|Dyce|||Aberdeen|Aberdeen|Великобритания|Великобритания|57.202500|57.202500|-2.198055|-2.198055
ACB|ACB|||Antrim County|Antrim County|||Bellaire|Bellaire|США|США|44.988577|44.988577|-85.198346|-85.198346
ACC|ACC|Котока|Котока|Kotoka|Kotoka|||Accra|Accra|Гана|Гана|5.605186|5.605186|-0.166785|-0.166785
ACD|ACD|Аканди|Аканди|Acandi|Acandi|Аканди|Аканди|Acandi|Acandi|Колумбия|Колумбия|8.496878|8.496878|-77.273893|-77.273893
ACE|ACE|Ланцароте|Ланцароте|Lanzarote|Lanzarote|Арресиф|Арресиф|Arrecife|Arrecife|Испания|Испания|28.945464|28.945464|-13.605225|-13.605225
ACH|ACH|||Altenrhein|Altenrhein|||Altenrhein|Altenrhein|Швейцария|Швейцария|47.485033|47.485033|9.560775|9.560775
ACI|ACI|||The Blaye|The Blaye|Элдерни|Элдерни|Alderney|Alderney|Великобритания|Великобритания|49.706758|49.706758|-2.214480|-2.214480
